state,population
Alabama,5073903
Alaska,733276
Arizona,7365684
Arkansas,3046404
California,39040616
Colorado,5841039
Connecticut,3608706
Delaware,1019459
District of Columbia,670949
Florida,22245521
Georgia,10913150
Hawaii,1439399
Idaho,1938996
Illinois,12582515
Indiana,6832274
Iowa,3199693
Kansas,2936716
Kentucky,4511563
Louisiana,4588023
Maine,1389338
Maryland,6163981
Massachusetts,6982740
Michigan,10033281
Minnesota,5714300
Mississippi,2938928
Missouri,6177168
Montana,1122878
Nebraska,1968060
Nevada,3177421
New Hampshire,1399003
New Jersey,9260817
New Mexico,2113476
New York,19673200
North Carolina,10695965
North Dakota,778912
Ohio,11759697
Oklahoma,4019271
Oregon,4239379
Pennsylvania,12972091
Rhode Island,1093842
South Carolina,5282955
South Dakota,909869
Tennessee,7048976
Texas,30029848
Utah,3381236
Vermont,647110
Virginia,8679099
Washington,7784477
West Virginia,1774035
Wisconsin,5890543
Wyoming,581629
Puerto Rico,3220113




















































